"names","avgs","df","sd","idf"
"wellperform",67.5,4,12.9023807142381,13.381407759783
"crowdpleas",72.4810126582279,79,13.8839601726568,9.0776270116059
"stori",64.9884691848907,2515,21.3252849885872,4.08506507509012
"messi",59.2456140350877,57,20.2986682569349,9.54851774561826
"complex",73.5546558704453,247,20.1777110787104,7.43304052819833
"realiti",64.4230769230769,156,23.4829795010728,8.09600554092076
"shoulder",61.9767441860465,43,22.0560345066987,9.95514300508091
"laconicgoodguy",67,1,1,15.381407759783
"neo",62.5,2,7.36396103067893,14.381407759783
"gari",57.2105263157895,38,19.7546864697966,10.1334802463394
"cooper",63.2549019607843,51,20.8089304479115,9.70898241781151
"never",61.8297297297297,1480,21.0159012496134,4.85002629926669
"quit",62.4970674486804,682,19.0379960424097,5.96777983075883
"make",62.7760862670473,3153,22.7878551843843,3.75889830509967
"emot",69.7511737089202,852,20.9581597844476,5.64669813955717
"contact",69.875,24,21.7245128961481,10.7964452590618
"audienc",60.1016635859519,1082,23.0961823359979,5.30192297595619
"paradox",71.3214285714286,28,19.511365020458,10.5740528377254
"zealous",62.5,2,18.6776695296637,14.381407759783
"tri",55.0065146579805,614,21.4922288195414,6.11931291441283
"cast",63.5841584158416,1111,20.4525498267983,5.26376465839391
"rosi",54,7,8.6594168620507,12.5740528377254
"glow",67.3243243243243,37,22.3047387191651,10.1719543941541
"prison",69.1444444444444,90,20.4390786247131,8.88955466345333
"experi",68.4341463414634,410,24.004130699085,6.70192766027756
"harder",65.1052631578947,38,20.857314635254,10.1334802463394
"folk",64.8793103448276,58,24.4027120832045,9.52342676465543
"insid",67.0529100529101,189,24.06045141965,7.81916533556193
"overflow",84.1176470588235,17,19.3843763592254,11.2939449185327
"rich",76.9169960474308,253,19.6438271112226,7.3984141850887
"grand",75.5538461538462,130,18.1771714100595,8.35903994675455
"vital",72.3275862068966,58,21.8968963791734,9.52342676465543
"juic",61.030303030303,33,21.9783889522123,10.3370136404246
"exist",59.8778625954198,131,23.9966629354259,8.34798475824556
"includ",58.9557823129252,294,23.1179297467031,7.18173541494664
"blood",63.5825242718447,206,22.0444473978267,7.69490723259979
"death",59.2380952380952,231,24.7472107984061,7.52965871836695
"like",60.0220165123843,3997,22.6042648543436,3.41670590236256
"hotspur",100,1,1,15.381407759783
"henri",67.8,50,21.2847082245494,9.73755157000828
"iv",50.4666666666667,15,23.0352531401929,11.4745171641745
"continu",63.9848484848485,132,23.0647848507802,8.33701364042455
"shock",62.0318021201413,283,23.3816599328731,7.23674951695112
"matter",65.5578231292517,294,21.9622215857865,7.18173541494664
"often",64.7628294036061,721,18.9678897167209,5.88755231054218
"weve",65.7058823529412,102,21.7219156169865,8.70898241781151
"watch",59.3435448577681,914,24.0385677616198,5.54535740472494
"wed",59.6090909090909,110,24.1033161981015,8.60004804625835
"virtuoso",80.75,28,20.095520126168,10.5740528377254
"stretch",57.3205128205128,156,22.2927330264416,8.09600554092076
"filmmak",65.9279038718291,749,24.3270202857803,5.83258585132426
"coppola",72.8846153846154,104,21.0059737157844,8.68096804164191
"bring",66.1340909090909,440,20.65146702786,6.60004804625835
"larg",67.1923076923077,208,19.4901472251381,7.68096804164191
"onstag",71.625,8,15.7738910630496,12.381407759783
"art",70.7877237851662,391,23.6074290645382,6.77038296247565
"drawn",68.8666666666667,60,21.1119465860524,9.47451716417449
"godfath",79.5135135135135,37,21.7131488319506,10.1719543941541
"world",69.0476821192053,755,22.1060315289604,5.82107492557057
"long",59.8046783625731,855,21.7942519667201,5.64162715000975
"john",60.1945080091533,437,22.1291608365966,6.60991829028241
"marley",60.1111111111111,9,30.6033969522268,12.2114827583407
"bloodi",64.6115107913669,139,23.4865534027083,8.2624666870595
"discoveri",75.2083333333333,24,16.1312494574945,10.7964452590618
"bed",61.7777777777778,9,21.1480630444826,12.2114827583407
"pacino",67.6086956521739,69,21.5599678067558,9.27288330300484
"nervous",65.3529411764706,34,24.0938563953394,10.2939449185327
"smooth",70.4268292682927,82,16.5817481767001,9.02385575516492
"hair",63.0483870967742,62,22.4104520356832,9.42721144939613
"restaur",52.7692307692308,13,20.5540014922515,11.6809680416419
"massacr",67.0625,16,23.4483666814908,11.381407759783
"collaps",56.6140350877193,57,20.508015189701,9.54851774561826
"garden",59.8484848484849,33,26.5368865713418,10.3370136404246
"craft",74.9322033898305,236,19.0428467884311,7.49876471042116
"endur",60.4777777777778,90,27.1040389391915,8.88955466345333
"undisput",79.2,5,14.6455120827325,13.0594796648956
"masterpiec",78.6814814814815,135,24.1834513327779,8.30459216273218
"brando",74.1666666666667,18,20.7223372913885,11.2114827583407
"made",64.1537761601456,1099,25.2675398387638,5.27943208883378
"don",66.0555555555556,36,19.545610869952,10.2114827583407
"vito",80,3,35.6410161513775,13.7964452590618
"rare",73.602766798419,506,22.9086833965725,6.3984141850887
"see",63.7623274161736,1014,23.8191681109265,5.39556582277967
"tragicom",82.6666666666667,3,21.5264057577875,13.7964452590618
"villainhero",100,1,1,15.381407759783
"vulner",76.4246575342466,73,16.0415330633209,9.19158320090299
"hood",62.5897435897436,39,24.0796309702299,10.0960055409208
"close",67.0082417582418,364,21.3820922368733,6.87361311958431
